Currency,USD,EUR,GBP,JPY,CAD,AUD,CHF,CNY,HKD,NZD
USD,1.0000,0.9132,0.7823,149.6500,1.3542,1.5231,0.8976,7.2134,7.8123,1.6324
EUR,1.0951,1.0000,0.8567,163.8723,1.4830,1.6679,0.9829,7.8991,8.5547,1.7875
GBP,1.2784,1.1673,1.0000,191.2900,1.7310,1.9470,1.1475,9.2205,9.9864,2.0869
JPY,0.0067,0.0061,0.0052,1.0000,0.0090,0.0102,0.0060,0.0482,0.0522,0.0109
CAD,0.7384,0.6743,0.5778,110.5078,1.0000,1.1247,0.6628,5.3267,5.7690,1.2054
AUD,0.6566,0.5996,0.5136,98.2532,0.8891,1.0000,0.5893,4.7361,5.1292,1.0717
CHF,1.1142,1.0174,0.8714,166.7222,1.5089,1.6969,1.0000,8.0364,8.7034,1.8186
CNY,0.1386,0.1266,0.1084,20.7456,0.1877,0.2111,0.1244,1.0000,1.0830,0.2263
HKD,0.1280,0.1169,0.1001,19.1553,0.1734,0.1950,0.1149,0.9234,1.0000,0.2090
NZD,0.6125,0.5595,0.4792,91.6742,0.8296,0.9331,0.5499,4.4183,4.7847,1.0000
